Time: 0m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 1m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 1m30s -JunctionD: 0 cars through from , 1 cars waiting.
Time: 2m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 2m30s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 3m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 3m30s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 4m0s -JunctionD: 4 cars through from , 0 cars waiting.
Time: 4m30s -JunctionD: 0 cars through from , 1 cars waiting.
Time: 5m0s -JunctionD: 4 cars through from , 1 cars waiting.
Time: 5m30s -JunctionD: 3 cars through from , 1 cars waiting.
Time: 6m0s -JunctionD: 5 cars through from , 0 cars waiting.
Time: 6m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 7m0s -JunctionD: 1 cars through from , 1 cars waiting.
Time: 7m30s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 8m0s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 8m30s -JunctionD: 0 cars through from , 1 cars waiting.
Time: 9m0s -JunctionD: 4 cars through from , 0 cars waiting.
Time: 9m30s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 10m0s -JunctionD: 1 cars through from , 1 cars waiting.
Time: 10m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 11m0s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 11m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 12m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 12m30s -JunctionD: 1 cars through from , 1 cars waiting.
Time: 13m0s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 13m30s -JunctionD: 1 cars through from , 1 cars waiting.
Time: 14m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 14m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 15m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 15m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 16m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 16m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 17m0s -JunctionD: 3 cars through from , 1 cars waiting.
Time: 17m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 18m0s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 18m30s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 19m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 19m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 20m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 20m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 21m0s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 21m30s -JunctionD: 3 cars through from , 1 cars waiting.
Time: 22m0s -JunctionD: 4 cars through from , 0 cars waiting.
Time: 22m30s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 23m0s -JunctionD: 4 cars through from , 0 cars waiting.
Time: 23m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 24m0s -JunctionD: 3 cars through from , 1 cars waiting.
Time: 24m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 25m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 25m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 26m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 26m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 27m0s -JunctionD: 4 cars through from , 1 cars waiting.
Time: 27m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 28m0s -JunctionD: 3 cars through from , 0 cars waiting.
